"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2014&tab=consumption-quantity&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Feb 05 2018 22:59:31 GMT-0500 (EST)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG (Mcf)","NG (Mcf)","AB (short tons)","WDS (short tons)","DFO (barrels)","BLQ (short tons)","BIT (short tons)","KER (barrels)","RFO (barrels)","SLW (short tons)","WO (barrels)","PC (short tons)","ANT (short tons)","TDF (short tons)","SUN","SUB (short tons)","PG (Mcf)","OBL (barrels)","WDL (barrels)","OBS (short tons)","LIG (short tons)","WAT","MSN (short tons)","MSB (short tons)","OTH","LFG (Mcf)","PUR","WC (short tons)","JF (barrels)"
"Georgia-Pacific Consr Prods LP-Naheola","--",3566578,"--",103336,15296,787232,97639,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Corp - Nekoosa Mill","--",430212,"--",9098,"--",122622,48671,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--"
"Georgia-Pacific Crossett LLC","--",3418445,"--",874169,0,804726,"--","--","--","--",23459,"--","--",1498,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Monticello Paper","--",1125052,"--",67040,"--",249597,"--","--","--","--","--","--","--",0,"--","--","--",0,"--",0,"--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Palatka Operations","--",4168183,"--",217126,"--",713356,"--","--",1858,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Port Hudson","--",2287737,"--",204746,"--",994557,0,"--","--","--","--",205310,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Toledo Mill","--",2246778,"--","--","--",462499,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Georgia-Pacific Wauna Mill","--",648745,"--",55428,"--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--",20847,"--","--","--","--","--","--","--","--","--"
"Gettysburg Energy & Nutrient Rec Facility","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",5354,"--","--","--","--","--","--","--","--","--"
"Grayling Generating Station","--",377,"--",337331,"--","--","--","--","--","--","--","--","--",5811,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"GreenWhey Energy Inc",124673,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"HL Power","--",507,"--",157436,"--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--"
"Halifax County Biomass","--","--","--",288707,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Harvest Power Orlando",243919,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaiian Comm & Sugar Puunene Mill","--","--",409624,"--",5117,"--",61112,"--",0,"--",8647,"--","--","--","--","--",0,0,"--",0,"--","--","--","--","--","--","--","--","--"
"Hidden View Dairy, LLC",119035,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hillman Power LLC","--",25410,"--",203537,"--","--","--","--","--","--","--","--","--",7946,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hoge Lumber","--","--","--",2950,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Holsum Elm Dairy",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hometown Bio Energy LLC",84950,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Mill","--",725331,"--",249582,0,382156,41650,"--",2760,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Hopewell Power Station","--",1188,"--",458353,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Howard F Curren Advncd Wastewater Plant",25750,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IDE 2 LLC",8247115,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IDE 3 LLC",2622896,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"IP Springfield Oregon","--",1204743,"--","--",0,384901,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Energy-Alexandria","--","--","--",191107,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Indeck Jonesboro Energy Center","--","--","--",215802,"--","--","--","--","--","--","--","--","--","--","--","--",1200,"--","--","--","--","--","--","--","--","--","--","--","--"
