"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=consumption-mmbtu_unit&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:53:00 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","OBG","AB","NG","BLQ","DFO","WDS","SLW","WO","TDF","BIT","SUB","PG","RFO","OBL","OBS","WDL","MSB","MSN","PC","OTH","JF","LFG"
"MillerCoors Irwindale Brewery",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"MillerCoors Shenandoah Brewery",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Missouri River Wastewater Treatment",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mobile Energy Services LLC","--","--",1,"--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Monterey Regional Water Cogen Facility",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Mt Poso Cogeneration","--","--",1,"--","--",15,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade Rabun Gap, LLC","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Multitrade of Pittsylvania LP","--","--","--","--","--",10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"NPI USA Cogeneration Plant","--","--","--","--",6,17,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nacogdoches Power","--","--","--","--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Nippon Dynawave Packaging Longview WA","--","--",1,12,6,17,14,"--","--","--",19,"--",7,"--","--","--","--","--","--","--","--","--"
"Novo BioPower Plant","--","--",1,"--","--",16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Okeelanta Cogeneration","--",7,1,"--","--",9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Orbit Energy Charlotte",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oshkosh Foundation Rosedale Biodigester LLC",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oxnard Wastewater Treatment Plant",1,"--",1,"--","--","--","--","--","--","--","--",3,"--","--","--","--","--","--","--","--","--","--"
"P H Glatfelter","--","--","--",13,6,9,5,"--","--",26,"--","--",6,"--","--","--","--","--","--","--","--","--"
"P H Glatfelter Co -Chillicothe Facility","--","--",1,12,6,10,"--","--",29,23,"--","--","--","--","--","--","--","--","--","--","--","--"
"PCA-Valdosta Mill","--","--",1,13,"--",10,"--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--","--"
"PInova Inc","--","--",1,"--","--",9,"--","--","--","--","--","--","--",6,"--","--","--","--","--","--","--","--"
"PWD Northeast WPCP Biogas Cogen Plant",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Rim Dairy Digester",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific-Ultrapower Chinese Station","--","--","--","--","--",11,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Packaging Corp of America","--","--",1,12,6,8,"--","--",31,26,"--","--","--","--","--","--","--","--","--","--","--","--"
"Papillion Creek Wastewater",1,"--",1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Piedmont Green Power","--","--","--","--","--",9,"--","--","--","--","--","--","--",5,"--","--","--","--","--","--","--","--"
