Plant.Name.x,Plant.Code,State.x,Sector.Name,Prime.Movers,Fuel.Types,Primary.Technology,Utility.ID,Utility.Name,Plant.Name.y,Street.Address,City,State.y,Zip,County,Latitude,Longitude
Viking Energy of Lincoln,50772,MI,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,19781,Viking Energy Corp,Viking Energy of Lincoln,509 West State Rd,Lincoln,MI,48742,Alcona,44.68,-83.4167
Viking Energy of McBain,50770,MI,IPP Non-CHP,ST,WDS,Wood/Wood Waste Biomass,19781,Viking Energy Corp,Viking Energy of McBain,6751 W. Gerwoude Dr,McBain,MI,49657,Missaukee,44.204,-85.2206
Viking Energy of Northumberland,50771,PA,IPP CHP,ST,WDS,Wood/Wood Waste Biomass,19900,Viking Energy Corp,Viking Energy of Northumberland,909 Cannery Road,Northumberland,PA,17857,Northumberland,40.9172,-76.8146
Village Creek Water Reclamation Facility,54520,TX,Commercial CHP,"GT, IC","NG, OBG",Multiple,6831,Ft Worth City of,Village Creek Water Reclamation Facility,4500 Wilma Lane,Arlington,TX,76012,Tarrant,32.775093,-97.14209
Virginia,2018,MN,Electric Utility,ST,WDS,Wood/Wood Waste Biomass,19883,City of Virginia - (MN),Virginia,618 2nd St South,Virginia,MN,55792,St Louis,47.522428,-92.540951
WWTP Power Generation Station,56036,CA,Commercial CHP,IC,OBG,Other Waste Biomass,5571,East Bay Municipal Util Dist,WWTP Power Generation Station,2020 Wake Avenue,Oakland,CA,94607,Alameda,37.8258,-122.2961
Wadham Energy LP,50293,CA,IPP Non-CHP,ST,AB,Other Waste Biomass,19946,Wadham Energy Ltd Partners,Wadham Energy LP,6247 Meyers Road,Williams,CA,95987,Colusa,39.1062,-122.1096
Warren Lumber Mill,50640,AR,Industrial CHP,ST,WDS,Wood/Wood Waste Biomass,15262,Potlatch Land and Lumber LLC,Warren Lumber Mill,810 West Pine St,Warren,AR,71671,Bradley,33.6206,-92.078889
Water Reclamation Plant,58617,MN,Commercial CHP,IC,OBG,Other Waste Biomass,58569,City of Rochester,Water Reclamation Plant,301 37th St NW,Rochester,MN,55901,Olmsted,44.064722,-92.469167
West Point Treatment Plant,50329,WA,Commercial CHP,IC,OBG,Other Waste Biomass,10004,King County Dept-Natural Res,West Point Treatment Plant,1400 Discovery Park Blvd,Seattle,WA,98199,King,47.661111,-122.446389
